,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_lag,params_q_sdot,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
0,0,10.453343649213025,2025-02-10 09:17:02.226497,2025-02-10 09:17:04.580285,0 days 00:00:02.353788,0.5166267468163994,10.30913405346047,0.013379681080232369,0.5638133523582066,8.571765446159212,0.061717223401641264,COMPLETE
1,1,11.850000000000001,2025-02-10 09:17:04.580670,2025-02-10 09:17:05.875347,0 days 00:00:01.294677,0.3456893197591433,0.00466679366162564,0.049590286877011946,0.016081174582866967,1.6307642703234946,3.8471293666787787,COMPLETE
2,2,12.25,2025-02-10 09:17:05.875700,2025-02-10 09:17:07.293943,0 days 00:00:01.418243,0.22136195006966392,0.010372696360057661,0.07202955304514098,0.008106317340908645,0.04541779118223479,5.101320144415515,COMPLETE
3,3,11.05,2025-02-10 09:17:07.294289,2025-02-10 09:17:09.590043,0 days 00:00:02.295754,0.0581849005728778,0.002647408856520216,0.02030182239491899,0.37049716987198744,8.887516757379531,0.027904944362241575,COMPLETE
4,4,11.75,2025-02-10 09:17:09.590414,2025-02-10 09:17:11.920595,0 days 00:00:02.330181,0.023940143947494663,0.0036508385202188675,0.0027711618433724555,0.1634494199026344,3.423298121769256,0.17782858282971942,COMPLETE
5,5,11.3,2025-02-10 09:17:11.920974,2025-02-10 09:17:15.132792,0 days 00:00:03.211818,0.04878903817810431,0.8884460723095793,0.01185476540060761,0.3684779697217336,1.16726319170431,0.015905484413383023,COMPLETE
6,6,12.950000000000001,2025-02-10 09:17:15.133231,2025-02-10 09:17:16.731720,0 days 00:00:01.598489,0.026069579112977883,0.0299741951879016,0.0133164364845545,0.0020882467383257293,0.46325931682115284,0.01979053091193166,COMPLETE
7,7,12.05,2025-02-10 09:17:16.732069,2025-02-10 09:17:19.231656,0 days 00:00:02.499587,0.022432914668307307,0.1367037784144248,0.05429276726654385,0.12930919387674433,0.25606749759873776,0.12304250942164786,COMPLETE
8,8,12.25,2025-02-10 09:17:19.232003,2025-02-10 09:17:22.245450,0 days 00:00:03.013447,0.34548074038129595,0.015445203686748697,0.028727163943129484,0.3572438747186212,0.4240575490962516,12.049352921449023,COMPLETE
9,9,12.200000000000001,2025-02-10 09:17:22.245852,2025-02-10 09:17:25.102318,0 days 00:00:02.856466,0.013686039431121122,0.006324707610737172,0.08597666485841016,0.5065486233769402,2.1793016589665797,0.29648586878187727,COMPLETE
10,10,11.3,2025-02-10 09:17:25.102762,2025-02-10 09:17:26.452558,0 days 00:00:01.349796,0.9490785390997993,47.06484620703329,0.00462778125657968,0.05884274208924428,7.4090147811813045,0.9389506971737706,COMPLETE
11,11,11.9,2025-02-10 09:17:26.452979,2025-02-10 09:17:29.219607,0 days 00:00:02.766628,0.001701895988310481,0.001124425982483187,0.0010735766109711117,0.41044969289960054,9.178866097541597,0.04969064052191975,COMPLETE
12,12,12.100000000000001,2025-02-10 09:17:29.219988,2025-02-10 09:17:32.406617,0 days 00:00:03.186629,0.11153719083095584,1.660700336990952,0.022155496301680903,0.8389787506296259,9.414009030820111,0.04989399226013605,COMPLETE
13,13,10.65,2025-02-10 09:17:32.406998,2025-02-10 09:17:34.845624,0 days 00:00:02.438626,0.9740877381717572,13.26815855692919,0.00673357259854734,0.9061312955250811,3.5232458131874447,0.01147371886793182,COMPLETE
14,14,10.9,2025-02-10 09:17:34.846019,2025-02-10 09:17:36.087683,0 days 00:00:01.241664,0.9906578152275546,26.24644685750635,0.005918042926359945,0.10197611228685201,3.397541656736087,0.010088870846466395,COMPLETE
15,15,10.600000000000001,2025-02-10 09:17:36.088129,2025-02-10 09:17:38.897358,0 days 00:00:02.809229,0.9137931461369324,8.88889461823518,0.009383870143347505,0.780837001665286,0.9545204000747538,0.06701702100448771,COMPLETE
16,16,11.350000000000001,2025-02-10 09:17:38.897741,2025-02-10 09:17:41.873825,0 days 00:00:02.976084,0.38059212141551646,5.99666935744481,0.010384797985964353,0.979177690962579,0.7803404248563253,0.07188195579545334,COMPLETE
17,17,11.350000000000001,2025-02-10 09:17:41.874180,2025-02-10 09:17:43.861579,0 days 00:00:01.987399,0.13210661666061657,5.594266593416648,0.01654963015602632,0.04258284220456463,0.1826658800137925,0.5376453233146794,COMPLETE
18,18,11.65,2025-02-10 09:17:43.861969,2025-02-10 09:17:46.798865,0 days 00:00:02.936896,0.5202943318340586,2.5561337364692434,0.029596432595385597,0.19526788677805462,0.8795479438600114,0.10759149032020426,COMPLETE
19,19,11.350000000000001,2025-02-10 09:17:46.799265,2025-02-10 09:17:49.555965,0 days 00:00:02.756700,0.1881670014969003,0.563158646500407,0.007926670669424969,0.07262690673996706,0.10359956885783309,0.034466362992594216,COMPLETE
20,20,10.75,2025-02-10 09:17:49.556389,2025-02-10 09:17:51.492704,0 days 00:00:01.936315,0.5638828598504212,13.609223004447903,0.003531061946637077,0.177474296741233,0.02725360747206203,0.08273117976614164,COMPLETE
21,21,10.450000000000001,2025-02-10 09:17:51.493111,2025-02-10 09:17:54.023424,0 days 00:00:02.530313,0.9900308692408368,11.547179553347545,0.007467773538848119,0.8352345547230924,3.6349314345299923,0.012155044368363937,COMPLETE
22,22,10.350000000000001,2025-02-10 09:17:54.023853,2025-02-10 09:17:56.693503,0 days 00:00:02.669650,0.5281924803921367,4.980108835800894,0.009363828615915696,0.6062087348090295,2.0972320050448654,0.02870030366166628,COMPLETE
23,23,11.25,2025-02-10 09:17:56.693897,2025-02-10 09:17:58.239001,0 days 00:00:01.545104,0.5007469389094489,40.524224181750355,0.013580748970924357,0.26568991399797687,4.632652402691588,0.024964883581096144,COMPLETE
24,24,10.55,2025-02-10 09:17:58.239458,2025-02-10 09:18:01.286476,0 days 00:00:03.047018,0.24032744680077017,3.060278990995902,0.007947170723000831,0.5412395269413418,1.7514200611715551,0.02378808814616253,COMPLETE
25,25,10.850000000000001,2025-02-10 09:18:01.286880,2025-02-10 09:18:03.112133,0 days 00:00:01.825253,0.5783715151421734,14.875970828309821,0.004611564570787707,0.25888411999257244,2.6195298776542573,0.03876224582732504,COMPLETE
26,26,10.9,2025-02-10 09:18:03.112567,2025-02-10 09:18:05.887332,0 days 00:00:02.774765,0.10885503582650886,5.355409389397976,0.01660016812690251,0.5730138699900451,5.566151268357295,0.010411118675714396,COMPLETE
27,27,11.15,2025-02-10 09:18:05.887753,2025-02-10 09:18:07.862511,0 days 00:00:01.974758,0.29482581892402515,1.382348093194131,0.01023518776120104,0.10230553099282799,4.435594622638171,0.01693025575696754,COMPLETE
28,28,10.65,2025-02-10 09:18:07.862932,2025-02-10 09:18:10.328403,0 days 00:00:02.465471,0.6021030150091565,21.754620932995905,0.006496139874157989,0.9989954955306145,5.602780438750915,0.04519815616575419,COMPLETE
29,29,12.200000000000001,2025-02-10 09:18:10.328802,2025-02-10 09:18:11.780429,0 days 00:00:01.451627,0.33865337015168395,3.701651146791037,0.037241861027536204,0.02673497847698819,1.6907729305656325,0.018300294519797176,COMPLETE
30,30,11.100000000000001,2025-02-10 09:18:11.780952,2025-02-10 09:18:14.604459,0 days 00:00:02.823507,0.15234886833703845,8.996949596078247,0.015859267909123904,0.6076027629344812,2.726740356090112,0.15360348191717768,COMPLETE
31,31,10.75,2025-02-10 09:18:14.604902,2025-02-10 09:18:17.452973,0 days 00:00:02.848071,0.26867180266816443,3.4274858393983614,0.008384830741569121,0.5345097896100978,2.231335778204369,0.02735367408023928,COMPLETE
32,32,11.4,2025-02-10 09:18:17.453406,2025-02-10 09:18:20.155956,0 days 00:00:02.702550,0.21701027055871877,2.1095826743159547,0.011060669360177817,0.26318349527475726,1.7532925305705942,0.027343312973960886,COMPLETE
33,33,11.0,2025-02-10 09:18:20.156359,2025-02-10 09:18:22.197206,0 days 00:00:02.040847,0.4138605043015691,24.843949960632614,0.0076662146861143365,0.5061980269409179,1.4487672667562976,0.014024520446435249,COMPLETE
