,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_lag,params_q_sdot,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
0,0,12.600000000000001,2025-02-10 15:16:19.577216,2025-02-10 15:16:21.721416,0 days 00:00:02.144200,0.008599216809412768,0.0033591650649232897,0.09315005132629983,0.0031211455894423878,0.2347479648231076,0.022856018805569006,COMPLETE
1,1,11.5,2025-02-10 15:16:21.758471,2025-02-10 15:16:23.407015,0 days 00:00:01.648544,0.8593767707679205,0.0038587002220523132,0.04730672312676773,0.0010001348300345127,5.7922021674979645,0.0712592537545199,COMPLETE
2,2,12.55,2025-02-10 15:16:23.437672,2025-02-10 15:16:25.632426,0 days 00:00:02.194754,0.12858488722889083,0.002917958793067681,0.04186334052762223,0.21163379215120778,0.017885609169052973,3.4277201085685434,COMPLETE
3,3,12.4,2025-02-10 15:16:25.660053,2025-02-10 15:16:27.537131,0 days 00:00:01.877078,0.8277262735948109,0.05456663877911626,0.07643048757922381,0.12766770464602403,0.09271578697104758,0.01104738550273731,COMPLETE
4,4,10.450000000000001,2025-02-10 15:16:27.554545,2025-02-10 15:16:29.293439,0 days 00:00:01.738894,0.0031743410869011996,11.467469251758668,0.008324266914128842,0.07072680889224252,0.010790340854950297,4.989455455048497,COMPLETE
5,5,11.4,2025-02-10 15:16:29.316905,2025-02-10 15:16:31.509171,0 days 00:00:02.192266,0.0021067785011724713,0.0012988007498458236,0.001552947297652924,0.00683936245267751,0.12221705665648666,0.44091297882575387,COMPLETE
6,6,10.65,2025-02-10 15:16:31.539315,2025-02-10 15:16:33.927031,0 days 00:00:02.387716,0.7393721256423399,5.98090559607463,0.01034274702727688,0.17637239927231463,0.01155106161193954,0.35051499589482377,COMPLETE
7,7,12.0,2025-02-10 15:16:33.951929,2025-02-10 15:16:35.752829,0 days 00:00:01.800900,0.3488856477985415,0.027644612668860553,0.001423752145806319,0.10228199726501071,0.11467453259362011,0.061832590985499536,COMPLETE
8,8,11.05,2025-02-10 15:16:35.780599,2025-02-10 15:16:37.284089,0 days 00:00:01.503490,0.8485548214609204,0.7323293788698397,0.0069318372580071345,0.0012998564182457489,1.8534561376643988,0.1990156386893461,COMPLETE
9,9,10.55,2025-02-10 15:16:37.312586,2025-02-10 15:16:38.949853,0 days 00:00:01.637267,0.2986021146137339,19.557637633550314,0.008120090465185453,0.0036081675239655327,1.1246097994658337,4.001334171803839,COMPLETE
10,10,10.850000000000001,2025-02-10 15:16:38.977240,2025-02-10 15:16:41.593092,0 days 00:00:02.615852,0.0011920598139933541,44.55109542113663,0.019844084591416285,0.8133549603220024,0.03149010585437883,8.50130534872065,COMPLETE
11,11,11.0,2025-02-10 15:16:41.616537,2025-02-10 15:16:43.085142,0 days 00:00:01.468605,0.04250944335538308,28.110875680252065,0.005162406717895718,0.016583523212893192,0.9334978740311193,2.295345130368014,COMPLETE
12,12,9.550472875037476,2025-02-10 15:16:43.113075,2025-02-10 15:16:46.191191,0 days 00:00:03.078116,0.01525826971237729,4.676893123730791,0.0042331430630485984,0.032363614941331866,0.5620645096524889,15.623359047455871,COMPLETE
13,13,9.35,2025-02-10 15:16:46.221661,2025-02-10 15:16:49.731688,0 days 00:00:03.510027,0.007209136591441927,1.8472455275467552,0.003907903806313192,0.031030306636039076,0.043901716378180744,19.056615774667293,COMPLETE
14,14,9.4,2025-02-10 15:16:49.755413,2025-02-10 15:16:52.992123,0 days 00:00:03.236710,0.01435664798434236,1.9618187632974966,0.002965649031936771,0.028599244449537944,0.47828569689564787,18.79787198379199,COMPLETE
15,15,9.450000000000001,2025-02-10 15:16:53.019538,2025-02-10 15:16:56.212314,0 days 00:00:03.192776,0.006826246689321146,1.2673742909507755,0.0031297797378992812,0.019761125711640973,0.04237222355267594,17.446020006152537,COMPLETE
16,16,10.15,2025-02-10 15:16:56.237420,2025-02-10 15:16:58.985764,0 days 00:00:02.748344,0.02162422674702949,1.097191855190541,0.0024907874083326905,0.04153396767626092,0.36852183463817373,1.249158145885878,COMPLETE
17,17,9.800661455790513,2025-02-10 15:16:59.017681,2025-02-10 15:17:02.162881,0 days 00:00:03.145200,0.04071116614859347,0.21810005202432955,0.0010228638624911125,0.011329227063293265,0.05038375605161843,18.576731334633617,COMPLETE
18,18,10.15,2025-02-10 15:17:02.189487,2025-02-10 15:17:04.546993,0 days 00:00:02.357506,0.005196014638403944,4.003175489438879,0.0024331781157495088,0.05433635089077148,0.2546740999164026,1.1663239243253216,COMPLETE
19,19,9.4,2025-02-10 15:17:04.573042,2025-02-10 15:17:07.362205,0 days 00:00:02.789163,0.013979868581957398,2.208251392820747,0.003928292547528202,0.023284687193970664,0.15886583796490822,7.913535597178143,COMPLETE
20,20,9.55,2025-02-10 15:17:07.388516,2025-02-10 15:17:10.917954,0 days 00:00:03.529438,0.0033549220650648513,0.3257000720489617,0.002260569659893151,0.010436432354116459,0.05791218186359931,10.284506619012856,COMPLETE
21,21,9.4,2025-02-10 15:17:10.950757,2025-02-10 15:17:13.821118,0 days 00:00:02.870361,0.01271470870435331,2.8585409773628445,0.0038912330110642173,0.02516853152406156,0.19683039569555882,7.815145040412364,COMPLETE
22,22,9.5,2025-02-10 15:17:13.847486,2025-02-10 15:17:17.058748,0 days 00:00:03.211262,0.02273753582185834,2.027414634452989,0.005050201002957633,0.03108796807062963,0.12761777749310624,7.920659048590713,COMPLETE
23,23,10.600000000000001,2025-02-10 15:17:17.081600,2025-02-10 15:17:20.108763,0 days 00:00:03.027163,0.011180500914847397,9.534363372540437,0.003108133184113787,0.04626898435604712,0.3754946331462141,14.976194793104709,COMPLETE
24,24,9.450000000000001,2025-02-10 15:17:20.136616,2025-02-10 15:17:23.462749,0 days 00:00:03.326133,0.005501795005011451,2.1721037627701656,0.012041035561612408,0.018972084155932795,0.14850996814051046,18.892047637150043,COMPLETE
25,25,9.700000000000001,2025-02-10 15:17:23.485305,2025-02-10 15:17:26.124020,0 days 00:00:02.638715,0.05882746673508661,10.722463737626427,0.005576594676716312,0.07556281791962435,0.07067355185197466,5.384103954794577,COMPLETE
26,26,9.450000000000001,2025-02-10 15:17:26.148053,2025-02-10 15:17:28.963046,0 days 00:00:02.814993,0.01865813602067359,0.5577492260435288,0.003603486906339354,0.011875340711038108,0.02848123457256005,2.2811511197056067,COMPLETE
27,27,9.9,2025-02-10 15:17:28.981553,2025-02-10 15:17:32.367955,0 days 00:00:03.386402,0.009321359391128122,2.2617162969673146,0.0019648278604099834,0.029072448592760494,0.0756283732250457,9.957363166462796,COMPLETE
28,28,9.4,2025-02-10 15:17:32.391696,2025-02-10 15:17:35.212144,0 days 00:00:02.820448,0.026378748215582816,0.3921206475925006,0.0033972620126067844,0.04745889763485315,0.19588611908540368,5.903360034583348,COMPLETE
29,29,9.4,2025-02-10 15:17:35.239373,2025-02-10 15:17:38.284397,0 days 00:00:03.045024,0.008275150655471481,1.0021882427112465,0.005266621979146058,0.005838335713613864,0.26976384224124605,11.09900218523426,COMPLETE
30,30,9.200000000000001,2025-02-10 15:17:38.310431,2025-02-10 15:17:41.158358,0 days 00:00:02.847927,0.012553275051471299,5.993242054459287,0.001822906298605996,0.018867705647634667,0.518364916428246,19.388186095899535,COMPLETE
31,31,9.35,2025-02-10 15:17:41.178017,2025-02-10 15:17:44.120280,0 days 00:00:02.942263,0.013444578111248029,5.848048867818879,0.0025989389203979084,0.0152209149655093,0.3665135437536421,11.556163265422445,COMPLETE
32,32,9.3,2025-02-10 15:17:44.145889,2025-02-10 15:17:46.905271,0 days 00:00:02.759382,0.007492764713293389,7.959769688387411,0.0018814288671835644,0.015570080591997196,0.4663415404988131,12.226567412532912,COMPLETE
33,33,9.75,2025-02-10 15:17:46.927230,2025-02-10 15:17:49.517736,0 days 00:00:02.590506,0.0074632981231089815,6.151677507009731,0.0015643722015716308,0.014587529608348979,0.5337570317270909,11.988944692966598,COMPLETE
34,34,10.600000000000001,2025-02-10 15:17:49.541268,2025-02-10 15:17:51.123691,0 days 00:00:01.582423,0.004447690485925697,18.62303941759259,0.001633743333303906,0.0067623024430609495,0.28208561379732244,3.8542708033363655,COMPLETE
35,35,9.55,2025-02-10 15:17:51.138753,2025-02-10 15:17:53.015051,0 days 00:00:01.876298,0.009452794141383518,7.129804276320916,0.0010344815668973594,0.00851405753977793,0.6726049696851918,6.0323540244819265,COMPLETE
36,36,11.3,2025-02-10 15:17:53.037589,2025-02-10 15:17:55.271970,0 days 00:00:02.234381,0.0036752723445672812,10.411810156516509,0.0019156373299278131,0.012708596276206359,2.10332744657684,13.040227578228661,COMPLETE
37,37,9.9,2025-02-10 15:17:55.296410,2025-02-10 15:17:56.875578,0 days 00:00:01.579168,0.0053261049698208164,4.583053486805031,0.002536354287373332,0.01767946088702519,0.3569150691055256,2.9497466459430037,COMPLETE
38,38,9.450000000000001,2025-02-10 15:17:56.904795,2025-02-10 15:17:59.205385,0 days 00:00:02.300590,0.00239547895807177,23.719000398272968,0.0012115935153425971,0.004631534026931787,0.21684117971758837,19.87514654696924,COMPLETE
39,39,9.700000000000001,2025-02-10 15:17:59.236303,2025-02-10 15:18:01.569453,0 days 00:00:02.333150,0.006663356279697073,11.760025635402464,0.0018044225594004047,0.008807760988116519,0.09735894799743569,11.8915120035673,COMPLETE
40,40,10.5,2025-02-10 15:18:01.592450,2025-02-10 15:18:03.049096,0 days 00:00:01.456646,0.030711420910529332,42.69645705933831,0.0013268630693477092,0.015668922853064923,0.015739188931750532,5.62580719133358,COMPLETE
41,41,10.200000000000001,2025-02-10 15:18:03.072828,2025-02-10 15:18:06.234604,0 days 00:00:03.161776,0.016117901014120858,3.33422588714597,0.0027193716101762237,0.029332695194796678,0.47287350999674665,12.796466558675213,COMPLETE
42,42,9.35,2025-02-10 15:18:06.261364,2025-02-10 15:18:09.000670,0 days 00:00:02.739306,0.011316492062970602,6.308906439680606,0.0020635071069834824,0.021830002842734137,0.7265836200609592,19.98150149338426,COMPLETE
43,43,9.4,2025-02-10 15:18:09.023465,2025-02-10 15:18:11.766942,0 days 00:00:02.743477,0.011133230652124675,6.172669231029603,0.002110058995286128,0.021358679805072837,0.8906090995615419,8.06230541364767,COMPLETE
44,44,9.65,2025-02-10 15:18:11.788628,2025-02-10 15:18:13.523429,0 days 00:00:01.734801,0.009270447165407595,16.154326581471786,0.0014747261716703318,0.00962005516888002,1.3627557390893457,10.762189513209869,COMPLETE
45,45,9.4,2025-02-10 15:18:13.547731,2025-02-10 15:18:16.622353,0 days 00:00:03.074622,0.019622280907584427,3.981284622549916,0.0020518029342439245,0.039659815780149904,0.7095995449195174,14.275296179885675,COMPLETE
46,46,9.75,2025-02-10 15:18:16.645174,2025-02-10 15:18:18.907115,0 days 00:00:02.261941,0.0041474128067720386,8.000983176056241,0.0016707909234710615,0.014324181058131392,0.785129523592073,4.685633529423834,COMPLETE
47,47,9.4,2025-02-10 15:18:18.922099,2025-02-10 15:18:21.514221,0 days 00:00:02.592122,0.0074145839221441655,14.545892496529408,0.0012686515580088687,0.06074644471641713,0.3994261309583391,19.931773826986777,COMPLETE
48,48,10.200000000000001,2025-02-10 15:18:21.541094,2025-02-10 15:18:23.720131,0 days 00:00:02.179037,0.002610396597860717,32.405442816381864,0.002762959613135474,0.08710852109048531,1.2541481291149488,6.701977295035481,COMPLETE
49,49,9.75,2025-02-10 15:18:23.745774,2025-02-10 15:18:25.529270,0 days 00:00:01.783496,0.012128060208253794,24.863965915913585,0.0022605888688393442,0.021822685489938983,0.6290543114760148,14.570734222909945,COMPLETE
50,50,9.450000000000001,2025-02-10 15:18:25.553511,2025-02-10 15:18:28.659153,0 days 00:00:03.105642,0.0015404971496502428,1.3230889655734017,0.003105003982334984,0.03399677214685888,0.3005863667501502,9.500222463834147,COMPLETE
51,51,9.4,2025-02-10 15:18:28.674740,2025-02-10 15:18:31.379241,0 days 00:00:02.704501,0.01800921833516433,4.550167866366172,0.0028568263152409495,0.02483422156448865,0.48082486610407676,19.356426939989802,COMPLETE
