,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
0,0,9.40257376160598,2025-02-06 12:02:10.322153,2025-02-06 12:02:14.189494,0 days 00:00:03.867341,0.00104717666393077,0.008594710817738885,0.015653022785750797,2.6726262641551792,COMPLETE
1,1,10.80491759110739,2025-02-06 12:02:14.189907,2025-02-06 12:02:19.931321,0 days 00:00:05.741414,0.08190403654734328,0.19016562324692549,2.9271226282547347,0.15637544288054434,COMPLETE
2,2,11.501735721308608,2025-02-06 12:02:19.931680,2025-02-06 12:02:27.603419,0 days 00:00:07.671739,0.00807081442132802,0.8245694670284444,0.24178900339745277,0.09764613810648347,COMPLETE
3,3,10.5,2025-02-06 12:02:27.603776,2025-02-06 12:02:30.500053,0 days 00:00:02.896277,0.8710727765140798,0.0013708957861292962,0.5196746146991237,1.0923742211701974,COMPLETE
4,4,11.450958545763788,2025-02-06 12:02:30.500394,2025-02-06 12:02:36.798572,0 days 00:00:06.298178,0.05595216132667195,0.18597631834433204,0.011507529678123731,0.0728173324020632,COMPLETE
5,5,9.555748552108378,2025-02-06 12:02:36.798905,2025-02-06 12:02:41.127519,0 days 00:00:04.328614,0.7295676470567538,0.0198743380909527,2.1154313228472383,13.88472498097734,COMPLETE
6,6,9.75497292083494,2025-02-06 12:02:41.128155,2025-02-06 12:02:46.516406,0 days 00:00:05.388251,0.008307019809225309,0.3364661191763234,0.09091006144574043,17.159786573655452,COMPLETE
7,7,11.201900559845894,2025-02-06 12:02:46.516778,2025-02-06 12:02:53.357049,0 days 00:00:06.840271,0.6746051682361874,0.9662478884967116,0.3397801062987269,0.06613313612902277,COMPLETE
8,8,10.852006277087606,2025-02-06 12:02:53.357393,2025-02-06 12:02:58.220043,0 days 00:00:04.862650,0.44977493273454716,0.34305564681157213,6.863882809536537,2.1737627223217384,COMPLETE
9,9,11.452763827053722,2025-02-06 12:02:58.220412,2025-02-06 12:03:05.667267,0 days 00:00:07.446855,0.02935448717702031,0.4564466855917429,0.0975416949643878,0.04539203481455276,COMPLETE
10,10,10.101115411299872,2025-02-06 12:03:05.667798,2025-02-06 12:03:09.554722,0 days 00:00:03.886924,0.0012827579138599663,0.009211616388642412,0.020468605198088328,0.572005639208937,COMPLETE
11,11,9.350303820730447,2025-02-06 12:03:09.555112,2025-02-06 12:03:14.101934,0 days 00:00:04.546822,0.0011821787861465453,0.022838343194861357,1.6452981860633933,8.432948491213757,COMPLETE
12,12,9.655246986287304,2025-02-06 12:03:14.102302,2025-02-06 12:03:18.808959,0 days 00:00:04.706657,0.0011165188807662821,0.0464980792812822,0.028194061698648572,3.989562977398276,COMPLETE
13,13,9.250026078671127,2025-02-06 12:03:18.809336,2025-02-06 12:03:22.550291,0 days 00:00:03.740955,0.002453666083663083,0.005332903416283239,0.9960122724414324,4.573255307733954,COMPLETE
14,14,9.200011250140323,2025-02-06 12:03:22.550643,2025-02-06 12:03:26.550950,0 days 00:00:04.000307,0.0033616174249162475,0.0026043802577728143,1.092314552302544,6.048164063725325,COMPLETE
15,15,9.201353892456076,2025-02-06 12:03:26.551330,2025-02-06 12:03:30.684095,0 days 00:00:04.132765,0.004009524457613912,0.0015148390373737601,0.8978281513655343,5.752469660129725,COMPLETE
16,16,11.65182923551011,2025-02-06 12:03:30.684445,2025-02-06 12:03:34.516014,0 days 00:00:03.831569,0.003373383569383813,0.001206564434744662,0.8039901071591813,0.014313981916286958,COMPLETE
17,17,9.20665601104289,2025-02-06 12:03:34.516404,2025-02-06 12:03:39.017789,0 days 00:00:04.501385,0.00727655488987,0.0024882320651847725,5.205556337019064,7.174827329485633,COMPLETE
18,18,9.355395275643657,2025-02-06 12:03:39.018152,2025-02-06 12:03:42.833871,0 days 00:00:03.815719,0.004374794964913582,0.0026457771842850375,1.181426237019445,1.2844259572786194,COMPLETE
19,19,9.256576663915904,2025-02-06 12:03:42.834231,2025-02-06 12:03:47.156805,0 days 00:00:04.322574,0.014830992152106093,0.0011346200425289958,3.5296425975292904,8.289121555472484,COMPLETE
20,20,9.505775862438044,2025-02-06 12:03:47.157270,2025-02-06 12:03:50.715986,0 days 00:00:03.558716,0.0024452813751314824,0.0026267209420125885,8.781624260318273,0.46061385084666456,COMPLETE
21,21,9.205149107616997,2025-02-06 12:03:50.716336,2025-02-06 12:03:55.068908,0 days 00:00:04.352572,0.005894274627964877,0.0029525340825684414,4.954632666260165,7.129076106956505,COMPLETE
22,22,9.200486472743926,2025-02-06 12:03:55.069269,2025-02-06 12:04:00.289871,0 days 00:00:05.220602,0.004446310321605935,0.004248195062464595,3.5771519964683196,17.67007383001674,COMPLETE
23,23,9.202944168495616,2025-02-06 12:04:00.290368,2025-02-06 12:04:05.616631,0 days 00:00:05.326263,0.0025093107459179488,0.004412303568499634,2.179125537017354,18.4666642408678,COMPLETE
24,24,9.150292223221355,2025-02-06 12:04:05.617314,2025-02-06 12:04:10.209099,0 days 00:00:04.591785,0.014271575278103575,0.0018159146636324752,1.3117376877371991,19.516023926163196,COMPLETE
25,25,9.20350549821606,2025-02-06 12:04:10.209504,2025-02-06 12:04:15.380040,0 days 00:00:05.170536,0.01292676244120835,0.005597334562857768,3.630752520223919,19.039647706094687,COMPLETE
26,26,9.200330759215447,2025-02-06 12:04:15.380645,2025-02-06 12:04:20.213359,0 days 00:00:04.832714,0.017302681842581415,0.0018965594913940545,1.491698943303487,11.121954462971221,COMPLETE
27,27,9.204435656375926,2025-02-06 12:04:20.213713,2025-02-06 12:04:25.422153,0 days 00:00:05.208440,0.01833702347751102,0.001957265402174915,1.5875463063966484,11.36077723080186,COMPLETE
28,28,9.206022962956036,2025-02-06 12:04:25.422520,2025-02-06 12:04:29.567675,0 days 00:00:04.145155,0.02406292874838428,0.0010254508672771646,0.6302155095246651,3.7075234479694608,COMPLETE
29,29,9.400011472997274,2025-02-06 12:04:29.568057,2025-02-06 12:04:33.092402,0 days 00:00:03.524345,0.013186099340726457,0.009195412575867841,1.2799811599143243,2.4170191104985483,COMPLETE
30,30,9.205697514354782,2025-02-06 12:04:33.092937,2025-02-06 12:04:38.395005,0 days 00:00:05.302068,0.04152997226835908,0.0017051475515843298,2.0680865000932878,10.914456189743253,COMPLETE
31,31,9.15592702815378,2025-02-06 12:04:38.395397,2025-02-06 12:04:43.949531,0 days 00:00:05.554134,0.009778134178140852,0.0034709972908064063,3.123832328641528,19.786534811204973,COMPLETE
32,32,9.20019805395645,2025-02-06 12:04:43.949933,2025-02-06 12:04:48.318962,0 days 00:00:04.369029,0.010932748997996391,0.0019637021646421384,2.2488628481000763,10.991150782928095,COMPLETE
33,33,9.257136557617816,2025-02-06 12:04:48.319350,2025-02-06 12:04:52.599702,0 days 00:00:04.280352,0.011030859920968793,0.003554901680997021,2.0992305935350757,5.304605841603892,COMPLETE
34,34,9.208619608751073,2025-02-06 12:04:52.600061,2025-02-06 12:04:57.842205,0 days 00:00:05.242144,0.00950261591622396,0.0019997899892356965,2.9910797018707225,11.325245128466593,COMPLETE
35,35,9.255883286902883,2025-02-06 12:04:57.842557,2025-02-06 12:05:01.592350,0 days 00:00:03.749793,0.021219628573514837,0.0010059638591156694,9.207482934356108,3.073279964835403,COMPLETE
36,36,9.201929305406646,2025-02-06 12:05:01.592713,2025-02-06 12:05:06.994726,0 days 00:00:05.402013,0.006511837045829864,0.0071813629888386535,0.5717780375097788,19.459574683187657,COMPLETE
37,37,9.209045008212382,2025-02-06 12:05:06.995482,2025-02-06 12:05:11.424836,0 days 00:00:04.429354,0.009289242642101236,0.002930135052695604,2.495201036807699,5.905977806603045,COMPLETE
38,38,9.200733755069644,2025-02-06 12:05:11.425228,2025-02-06 12:05:16.131729,0 days 00:00:04.706501,0.02663921164143549,0.001529668845723675,0.3816226422755951,12.322777129310198,COMPLETE
39,39,9.204691911945337,2025-02-06 12:05:16.132496,2025-02-06 12:05:21.044765,0 days 00:00:04.912269,0.061023066276823516,0.0037166852619131448,0.7951423405784864,8.414213531608869,COMPLETE
40,40,9.255282596193732,2025-02-06 12:05:21.045178,2025-02-06 12:05:25.990993,0 days 00:00:04.945815,0.03918384219617263,0.013966762440531306,5.077751120896591,13.563679961218348,COMPLETE
