,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
0,0,,2025-02-19 19:35:48.460342,2025-02-19 19:36:02.323464,0 days 00:00:13.863122,0.05395998185548963,0.11983245689835906,0.1383416991700351,0.016271370799152477,FAIL
1,1,27.00328230857849,2025-02-19 19:36:04.993681,2025-02-19 19:36:35.863952,0 days 00:00:30.870271,0.00638076626720243,0.07462116564039764,0.3208860423296803,0.2372703090853714,COMPLETE
2,2,27.171661615371704,2025-02-19 19:36:35.888734,2025-02-19 19:37:04.149580,0 days 00:00:28.260846,0.0018274766504487899,0.3294676050791723,0.048914346495660115,0.1569096738197178,COMPLETE
3,3,26.569915056228638,2025-02-19 19:37:04.172965,2025-02-19 19:37:31.842707,0 days 00:00:27.669742,0.4237669066769698,0.27338090890615213,0.29657128564202806,4.215341151909474,COMPLETE
4,4,26.9481143951416,2025-02-19 19:37:31.865752,2025-02-19 19:37:59.911384,0 days 00:00:28.045632,0.021579681135306002,0.1976670496965707,0.12137471104397307,2.173705139375258,COMPLETE
5,5,27.006298542022705,2025-02-19 19:37:59.935623,2025-02-19 19:38:28.021431,0 days 00:00:28.085808,0.10824973075764274,0.16510145292141787,0.11296396312910019,0.08605839837163477,COMPLETE
6,6,27.080381870269775,2025-02-19 19:38:28.043251,2025-02-19 19:38:56.230768,0 days 00:00:28.187517,0.016982332382635648,0.11143664642605239,1.3415232433442648,0.07207464879068338,COMPLETE
7,7,26.988000631332397,2025-02-19 19:38:56.255034,2025-02-19 19:39:24.379656,0 days 00:00:28.124622,0.15692562062077287,0.26336281700890457,0.256233057864514,4.323496852609545,COMPLETE
8,8,27.124642848968506,2025-02-19 19:39:24.400615,2025-02-19 19:39:52.581963,0 days 00:00:28.181348,0.961164817883679,0.7544031378060176,0.0872035149037241,0.8378220152593182,COMPLETE
9,9,23.103887796401978,2025-02-19 19:39:52.606567,2025-02-19 19:40:16.812477,0 days 00:00:24.205910,0.7996731055183668,0.0029949750286124613,0.020054425999579076,1.8458243381104138,COMPLETE
10,10,22.79315447807312,2025-02-19 19:40:16.834142,2025-02-19 19:40:40.706269,0 days 00:00:23.872127,0.0318233953552253,0.0016934809535718127,2.259652917969031,0.18497276429082088,COMPLETE
